Name,Username,Label
Raquel Arellano • Raquelícias,raquelicias,1.0
Steffen Eventos,steffeneventos,1.0
Belezinha,ducilenebelezinha,1.0
Stephanie Ribeiro,ste_rib,1.0
Érica Elke,ericaelke,1.0
Rota Policial Notícias,rotapolicialnoticias,1.0
Babei no Look,babei.nolook,1.0
Renato Oliveira,renolives85,1.0
Soulmanic,soulmanic,1.0
Mapas Mentais | Concursos,mapasdalulu,1.0
FC NEYMAR JR🇧🇷🔥,neymarjrcamisa10_,1.0
Jornal Cajazeiras,jornalcajazeiras,1.0
Byanka Brasil,bya.brasil,1.0
Verbo da Vida Caruaru,verbocaruaru,1.0
Rapha | Coloração Pessoal,rapha_freitas,1.0
Prefeitura de SSVA,prefeiturassva,1.0
Mona Lisa Duperron,monalisaduperron,1.0
BlackYue Land | Cosplay e Colecionaveis,blackyue,1.0
Felipe Becari,felipebecari,1.0
Músicas Hits,musicashits.com.br,1.0
Grupo Águia Clube de Tiro ®,aguiaoficial,1.0
Nina Muniz®️,ninamunizacessorios,1.0
Rubinho Santos ,rubinho_fvl,1.0
Regi Oliveira,erreoliveira,1.0
Tamires Araújo,tamires_araujjo,1.0
Gabi Buarque,gabibuarquecantora,1.0
Associação Mata Ciliar,mataciliar,1.0
Limiare Contabilidade,limiare.cont_,1.0
Silvia Herrera,silviaherrerabr,1.0
Giovani Culau,giovaniculau,1.0
Super,super_indignado,1.0
Julia Konrad,juliakonrad,1.0
Mais Autonomia,maisautonomia,1.0
Confort,confortmoveis,1.0
VINICIUS VIDAL • PersonalTrainer,eusouviniciusvidal,1.0
Moda Fitness \ Divino Corpo,usedivinocorpo,1.0
André Sousa,showzamusic,1.0
Faculdade de Farmácia da UFRJ,ff.ufrj,1.0
Dárcio Bracarense,darcio.bracarense,1.0
Guilherme Guidi & Nala 🐕,guilhermedanala,1.0
Unicred Ponto Capital,unicredpontocapital,1.0
Prefeitura de Muriaé,prefeiturademuriae,1.0
Caio Ângelo 🥷🏽Cosmopolita💳✈️,olobodocapital,1.0
CALILA NOTÍCIAS,calilanoticias,1.0
Ademir Pestana,ademirpestana,1.0
Live Producões 16 Anos!,liveproducoesjfoficial,1.0
Instituto Valorize,institutovalorize,1.0
Armando Schneider da Silva,armandossilva,1.0
Coxixando,coxixandoo,1.0
pontoK Semijoias Atacado 💎,pontoksemijoias,1.0
Eduardo Mira,professormira,1.0
Acervo Nelore,acervonelore,1.0
Cimi Nacional,cimi_conselhoindigenista,1.0
Aline Dias,alineapproves,1.0
Clovis Feitosa Neto | Direito Administrativo | Concursos| OAB,prof.clovisfeitosa,1.0
NOVIDADES OFICIALL,novidades_oficiall,1.0
ROLÊ,role_sp,1.0
João Sabiá,joaosabia,1.0
Move Concerts,moveconcertsbrasil,1.0
Tribuna do Cricaré,tribunadocricare,1.0
M A R G E M  N O R T E,margemnorte,1.0
Jackson Dalmasio,jackson_dalmasio,1.0
Mega Curioso,megacurioso,1.0
Rodrigo Roque,roquedigao,1.0
Elétron Energy ®,eletronenergy,1.0
Gabriela Leite,gbrlaleite,1.0
Kairos De Castro,kaosdekairos,1.0
BelleVie e MamanVie,belleviemamanvie,1.0
Spazio Eletrodomesticos,spaziopervoi,1.0
Edson Marcusso,edsonmarcussooficial,1.0
Carolina Sanches | Leituras Elásticas,carolinasanches,1.0
Aretuza Lovi,aretuzalovi,1.0
CEMIL - ETI Margarida Lemos,cemiletimargaridalemos,1.0
Bolsonarista Opressora,bolsonaristaopressora,1.0
𝗗𝗮𝗻𝗻 𝗟𝗮𝗰𝗲𝗿𝗱𝗮,dannlacerda,1.0
Amigurumi Terapia,amigurumi_terapia_,1.0
Silvana Cordeiro |Rotina do bebê| Consultoria do sono,rotinababy,1.0
GISELE CAMPOS | Barriga Lisa®,dra.giselecampos,1.0
Relinchos do Pé de Pano,relinchosdopedepano,1.0
BAD MI ⚡️ MIRELLA,bad_mirel,1.0
Renata Valões | Automaquiagem,renatavaloes,1.0
Brasil Agro Oficial,brasil_agro_ofc,1.0
🐉  WANG PARK - ÚNICO PERFIL OFICIAL,wangparkma,1.0
Duty Free Americas Uruguay,dfa_uruguay,1.0
TV Alterosa Sul de Minas,tvalterosasuldeminas,1.0
Mara Pusch - Mentora de Vendas,marapusch,1.0
M U R I L L O  L I M A,murillolima,1.0
Joao Burse,joao.burse,1.0
PS Jorge e Mateus,psjorgemateus,1.0
Conrado Pera,conradopera,1.0
37° Batalhão PMSC,pmsc37bpm,1.0
Esquina do Chopp,esquinadochoppsantos,1.0
Samuel Pinheiro,samuelpinheiroficial,1.0
ERYKA NOBRE 🔥,erykanobre,1.0
Rech Baby - Loja Virtual,rech_baby,1.0
Kel ferey,kel_ferey__,1.0
Nara Mendes,thaynaramendes14,1.0
Rikelme Krüger Sales,rikelmekrugersales,1.0
Passeios e Transfer em Salvador,citytoursalvadorba,1.0
"Morada Nova, Ceará 🐎👏🏻💥",moradanovace,1.0
Moz Entretenimento,mozentretenimento,1.0
#oPutoDeBarba,oputodebarba,1.0
LOVNIS,lovnis.lovethis,1.0
ONONO®,ononobrasil,1.0
Kaue Nunes,kauenunes70111,1.0
Portal da Ascensão 𓂀,portaldaascensao,1.0
Cidinho Santos,cidinhosantosoficial,1.0
Unopar Anhanguera Niterói,unoparanhangueraniteroi,1.0
Diário de Santa Bárbara,diariodesantabarbara,1.0
CASACA,bandacasaca,1.0
NetBet Brasil,netbetbrasil,1.0
Rogerio Fernandes Lima,coronelrogerioes,1.0
𝗔𝘀𝗰𝗲𝗻𝗱𝗲𝗻𝘁𝗲,ascendentebr,1.0
Opção Lanches Linhares,opcaolancheslinhares,1.0
Redemac,redemac.oficial,1.0
Fabiana Araújo | Movimento,eufabianaaraujo,1.0
Igreja Cristo Vive,igrejacristovive,1.0
Eduardo Cunha,deputadoeduardocunha,1.0
FJP | Fundação João Pinheiro,fundacaojoaopinheiro,1.0
Pitacos do Casal,pitacosdocasal,1.0
Carrega Angola,carregaangola,1.0
D’ Moura Açai,dmouraacaioficial,1.0
Roberta Oliveira ✨ ♿️,robertinhaoliveira,1.0
Luiz Tiago,srgentileza,1.0
Bruno Silva,bruno_silva_oficiall,1.0
20BARRA9,20barra9,1.0
Erico Verissimo,verossimil,1.0
Instituto Wesley Gabriel,institutowg_,1.0
Paula,paulalopesss,1.0
Nathalia Santos,nathaliasantos,1.0
Movimento Direita Azul 🇧🇷🇭🇳,direita_azul,1.0
TV Portal a Fonte,tvportalafonte,1.0
Viva Festa Eventos Buffet,vivafestaeventosfeiras,1.0
Távia Santos,djtaviaferman,1.0
CTX Moda Masculina,loja.ctx,1.0
Jordana Portilho Gama,jordana_gamaportilho,1.0
Centro Coreográfico RJ,ccoreograficorj,1.0
Eder Borges,ederborgesbr,1.0
Raquel couto,rachelmoon2k23,1.0
Verdão na Net 🌐,verdaonet,1.0
Aline Silva | Enxoval e Organização,organiza.voce,1.0
Emília Monteiro,emiliamonteirocantora,1.0
Alex Victor,esteticafinancas,1.0
Medicos Cubanos,medicos.cubanos,1.0
RádioRegionalNet | Música Gaúcha e Campeira,radioregionalnet,1.0
Daiane Fernanda Belizario Germano,day_belger,1.0
Maria Marighella ⚡️💥,mariamarighella,1.0
Thiago de Oliveira Rocha Siffermann,siffermannadvogados,1.0
Barco Pesqueiro & Restaurante,barco_pesqueiro,1.0
Empregos Pernambuco,empregospernambuco,1.0
Ju Rocha Plus Size®,plussizejurocha,1.0
Mariana Medeiros,marianamedeirosprefeita,1.0
Dra. Thaís Siqueira ‣ Harmonização Facial CRO98286,dra.thaissiqueira,1.0
Afeira,afeirajf,1.0
Érika Amorim,erikaamorimce,1.0
Isís Costa,isiscostaoficial,1.0
📢INFORMANTE PATRIOTA🇧🇷,informantepatriota,1.0
Lucas Brandão,lucascbrandao,1.0
PT no Senado,ptnosenado,1.0
Marília Moschkovich,mariliamoscou,1.0
Rádio Arara Azul I Parauapebas,araraazulfm,1.0
Ewerson Umbelino 🇧🇷,ewersonumbelino,1.0
Livraria Paisagem,livrariapaisagem,1.0
Hidradenite Supurativa,hsprojetoluz,1.0
IPHONE FORTALEZA CEARA,pomboimports,1.0
Nícolas Pereira,nicolaspereiraoficiaal,1.0
Bancada Luta Coletiva,bancadalutacoletiva,1.0
Mari Tavelli,mari_tavelli,1.0
🌸NANDA🌸,priotonanda,1.0
Esporte Clube São Luiz,saoluizdeijui,1.0
Emanuela Quelho,emanuelaquelho,1.0
CCAA Icaraí,ccaaicarai,1.0
Dago Donato,bimahead,1.0
Sáfica Corporation,safica.corporation,1.0
Cavalinho do Flamengo,cavalinho.do.fla,1.0
BENVINDA | Marketing Digital Gastronômico,agenciabenvinda,1.0
Camila Maria Rodrigues,dracamillamaria,1.0
Evy Bonani 🐉 Autoconhecimento & Espiritualidade,_evyb,1.0
Tiago Cezar/ Vendas e Negócios,tiagocezar,1.0
Fernando Ribeiro,fern_ribs,1.0
Ministério Público do Maranhão,mpmaoficial,1.0
Juventude Fortaleza,juventudefortaleza,1.0
Performance - Itaperuna,performancemais,1.0
ACAPS - Associação Capixaba de Supermercados,acapsoficial,1.0
David Almansa,almansa13,1.0
Prefeitura de Sorocaba,prefeituradesorocaba,1.0
Oracoes Selecionadas,oracoes_selecionadas,1.0
𝗔𝗹𝗰𝗮𝘁𝗲𝗶𝗮 𝗖𝗿𝗼𝘀𝘀𝗙𝗶𝘁,alcateiacrossfit,1.0
Editora Arcádia®,editoraarcadia,1.0
Ana Paula Renault,anapaularenault,1.0
Rio Preto Conectada,riopretoconectada,1.0
Prefeitura de Santana do Riacho,prefeiturasantanadoriacho,1.0
Almir Felitte,almirfelitte,1.0
Portal Miséria,sitemiseria,1.0
Marcos Salomão,professor_salomao,1.0
Bruna Barboza,barbozabruna,1.0
Vitor Fernandes,vitorfernandes,1.0
Sgt. Tânia Guerreiro,sargentotaniaguerreiro,1.0
JOYCE CAROLINA 🇧🇷,joycaroll,1.0
Filipa Brunelli | Vereadora,filipabrunelli,1.0
Pasin,lucaspasin,1.0
Evolution - Wellness & Fitness,evolution_montijo,1.0
Miami Express Importados🇺🇸🇧🇷,miamiexpressusa,1.0
Maison Bais,maisonbais,1.0
D32 Clínica Médica & Dentária,d32_clinica,1.0
Adinalva Duarthe | Especialista em autoestima da mulher,mulherautentica.oficial,1.0
TV Atalaia,tvatalaia,1.0
Caroli Douces - Por Carol Melo,carolidouces,1.0
Drag Racing Nacional 🇧🇷,dragracingnacional,1.0
Presidente Jair M. Bolsonaro,bolsonaro_apoiadores,1.0
Bar Do Cuscuz Recife,bardocuscuzrecife,1.0
Jornal DR1,jornaldr1,1.0
Uninassau Palmas,uninassau.palmas,1.0
Armazém das Frutas • Santos,armazem.dasfrutas,1.0
Maternidade Real,maternidadeereal,1.0
Maximu's Pizzas Jundiaí - Rodízio e Delivery,maximus_pizzas_jundiai,1.0
Léo Cataldo 🐳,leocataldo,1.0
SBS M1L GR4U,sbsmilgrau,1.0
Thara Tattoo Cosméticos,tharatattoo,1.0
Animasom Festas & Recreação,animasom_br,1.0
Enviamos para todo o Brasil ✈️,casadasessenciasuberlandia,1.0
Pâm Santos,pamelasantos_5,1.0
Rodrigo Cattani,rcattani,1.0
Cinemundo,cinemundo.pt,1.0
Guilherme Lacerda,guilherme_lacerda_samba,1.0
Nação Verde Oficial,nacaoverde,1.0
Izabel Cristina de Araújo,izabelcaraujo1,1.0
Karla Sarney,karlasarney_,1.0
Vilson Carlos Tíbolla,vicati5,1.0
Fã Clube Do Rei Luiz Bacci 👑❤,meuamor.luiz.bacci,1.0
Marina Lisboa | Confeitaria,lamarimanaus,1.0
ECDE,esquerdacompradaesquerda,1.0
Jose Allamano,monteroraimafm,1.0
Boi Gordo,portalboigordo,1.0
Madureira Esporte Clube,madureiraec,1.0
memes tudin <3,_memes._.tudin_,1.0
Tintas Ciacollor,tintasciacollor,1.0
DONA  ONÇA ®,macjulia_,1.0
Lojas 2A,2aimportados,1.0
Victor Varela,victorvarelaoficial,1.0
Tv Democracia,tvdemocracia,1.0
WE SUPPORT BEY,wesupportbey,1.0
crisbartis,crisbartis,1.0
Lavic Cosmetics,laviccosmetics,1.0
Iya Barbara,iyabarbara,1.0
Lidiane Rosa | Escritora Cristã,souesterblog,1.0
Bruno Damásio | Emagrecimento,eusoubrunodamasio,1.0
Saraiva Produçoes,saraivaproducoes,1.0
Mileno Alves,milenobarber,1.0
Ecossistema Unifacisa,unifacisapb,1.0
Valderedo Bertoldo,valderedo_bertoldo,1.0
Enéias Reis,deputadoeneiasreis,1.0
Daniela Ferrari Andrade Cattanio,dani_ferrari_andrade,1.0
Cinta modeladora FEMME,cintas_femme,1.0
L. Hernandez oficial,l.hernandezoficial,1.0
Eduardo Campos,eduardocampos7.4,1.0
Thiago Gonçalves,thiagogoncalves.oficial,1.0
Isa,isa.horvat,1.0
Marcos Luca Valentim,marcoslucavalentim,1.0
Mercadão Atacadista,mercadaoatacadista,1.0
Alê Ferraz,alessandro_ferraz,1.0
Matheus Costa,matheuscostacomediante,1.0
World Surf League Brasil,wslbrasil,1.0
NBA das Mina,nbadasminapod,1.0
Carlos Bolsonaro Zueiro,carlosbolsonarozueiro,1.0
Leandro Demori,leandro.demori,1.0
Grupo Calebe Universal,calebebrasiloficial,1.0
Fla Nosso Oficial,flanossooficial,1.0
Noticias de Osasco e Região,portalnor,1.0
Biotech Dental Portugal,biotechdentalportugal,1.0
Daniel Gonçalves de Barros,expressoconservador,1.0
Carlos Sávio,padresavio,1.0
Instituto Cromossomo 21,cromossomo21,1.0
Flash Vip • FVcomunica!,fvnasredes,1.0
Felipe sorriso,felipesorrisooficial,1.0
João Mádison,joaomadison,1.0
Bendito Livrinho | Literatura Infantil,benditolivrinho,1.0
Thayana Barbosa,thayanabarbosaoficial,1.0
Killers Kiss Cover,killerskisscover,1.0
Binder,binder,1.0
Arianne Botelho 🌻,arianne.botelho,1.0
Centro de Mediadores,centrodemediadores,1.0
🦋Laís Dafne🦋 Cestas e Presentes Anápolis,laisdafneconsultora,1.0
Amante de animais/pets,petlovers_insta,1.0
RÁDIO CHAPECÓ FM 100.1,radiochapeco,1.0
Povo Arara-Guardiões do Iriri,guardioesdoiriri,1.0
Supermercados Tanabi,supermercadotanabi,1.0
TheVardia Rock,thevardia,1.0
OUTLET DOCT JEANS ⚠️ Botucatu,outletdoctjeans,1.0
Amor Amora,amoramoracosmeticos,1.0
Claudia Lisboa ✨,claudialisboa,1.0
360°Expedições,360expedicoes,1.0
Óptica Rodrigues & Nascimento,opticarodriguesenascimento,1.0
Prefeitura de Guarapari,prefeituradeguarapari,1.0
Thais Pires,reglapires,1.0
Bosco Carneiro,boscocarneiro,1.0
Concurso Belezas do Brasil ®,concursobelezasdobrasil,1.0
Centauro Esporte,centauroesporte,1.0
Mensagens de inspirações diárias,inspiracaodiariaofc,1.0
Naheda Culinária Árabe,nahedaculinariaarabe,1.0
Look Chic | Dicas de Imagem & Estilo,look_chic_n5,1.0
Blog Vai pra Disney,vpd_orlando,1.0
Mafalda de Castro,mafaldacastro,1.0
Feira Mega Gestante,feiradagestante.oficial,1.0
Hillsong Portugal,hillsongportugal,1.0
Diário do Rio Claro,diariodorioclaro,1.0
Gabriel Sehn,budo_oficial,1.0
Jornal A União,jornalauniao,1.0
Anderson Massambani,amassa90,1.0
SALUTTY CLOSET👗,saluttycloset,1.0
ISTOÉ,revistaistoe,1.0
Esmir Filho,esmirfilho,1.0
ADPM Bauru,adpmbauru,1.0
Família de Rua,familia_de_rua,1.0
Rafael Alves,rafael073,1.0
Agência de Notícias da Aids,agenciaaids,1.0
ROCHAFIT💪,somos_rocha_fit,1.0
Nanda Looks,nandaastore,1.0
Rolnan Gueiros,rolnanesportes,1.0
Cervejas na Promo! 🍺,promocervejas,1.0
Riopar Fresagem e Reciclagem,rioparfresagem,1.0
Fabio Manzoli Marques de Oliveira,masculinidade.saudavel,1.0
Studiolivre,somostudiolivre,1.0
Lasanha Motors ®,lasanha_motors,1.0
Salsicha123,salsicha123,1.0
Duquesa Confeitaria ®,duquesaconfeitaria,1.0
Miguel Correa,miguelcorrea,1.0
Rádio Evangelizar,radioevangelizar,1.0
🅃🄴🄾🄻🄾🄶🄰🅁,teologaroficial,1.0
GIRO MOTO PARTS,giromotoparts,1.0
💰 LowSales Originais 💰,lowsalesoriginais,1.0
Thiago José Camargos,tibacamargos,1.0
Enzo | Importação Apple| Macbook| iPad| iPhone.,lemporte_,1.0
JJTrips Viagens & Ecoturismo,jjtrips.rj,1.0
Queridos Do Flamengo,queridosdoflamengo,1.0
Colégio Sigma,sigmadf,1.0
ER HAIR & BEAUTY TRAINING,erhairbeauty_training_pt,1.0
BRECHÓ VENDE TUDO,rachelvendetudo,1.0
Flávio Bucaneiro,flavio_cohbr,1.0
Percival Puggina,percivalpuggina,1.0
Raphael Alves,photoraphaelalves,1.0
Colégio Salesiano Recife,salesianorecife,1.0
Alecsandro Coutinho Sousa,sargentoalecsandro,1.0
Dr. Laércio Ribeiro,drlaerciojm,1.0
Vittorio Medioli,vittorio.medioli,1.0
Caju Tricolor ®️,cajutricolor,1.0
Thiago Braz,thiagobrazpv,1.0
Gabryel de Castro,mundobygabryel,1.0
Eduardo Sejanes Cezimbra,edu_cezimbra,1.0
Helô Cintra,helocintracastilho,1.0
Celio Souza,celio.producoes_oficial,1.0
ANI BELLE | CANTORA,anibelleoficial,1.0
Prefeitura de Timóteo,prefeituratimoteo,1.0
Sílvia Benjamin,silviabenjaminpb,1.0
Defesa Civil de Niterói,defesacivilniteroi,1.0
Thiago Gomes,thiago_gomes_photography,1.0
João M.,oblogayro,1.0
INFORMAÇÃO LIVRE E TRANSPARENTE,jornalavozdopovo,1.0
Uriã Fancelli,uriafancelli,1.0
Loja Cardumi,lojacardumi,1.0
AMIGA IRÔNICA,amigaironica,1.0
Arte que Faz,artequefaz,1.0
𝑳𝒂𝒍𝒂 𝑳𝒊𝒑𝒆,mundolalalipe,1.0
Vanessa Maio Fios®️,vanessamaiofios,1.0
Recife Mais ✌️,recifemais,1.0
Plásticos MB,plasticosmb,1.0
888BETS,888betsoficial,1.0
Moça Biju Anápolis (AMOR EM ACESSÓRIOS E BIJUTERIAS ❤),mocabiju.anapolis,1.0
Tati Barbosa,tatianbarbosa,1.0
A Nazare Sincera,anazaresincera,1.0
Prefeitura de Itaúna,prefeituradeitauna,1.0
Edna Nívea,maes_com_propositooficial,1.0
Clube Atlético Juventus,oficialjuventus,1.0
🎯 JRMauzer,obmauzer,1.0
Escola Adventista de Dourados,eadomsoficial,1.0
RAFAELA HOFFMANN | SOBRANCELHAS,atelierafaelahoffmann,1.0
Alexleoneoficial🧿,alexleoneoficial,1.0
Claudiney Mathias,claudineymathiasrodeio,1.0
ClimaInfo,clima.info,1.0
Ana Dlili,anadlili,1.0
Winnie Bueno,winniebueno,1.0
Porco Alado,charcutariaporcoalado,1.0
Carlos Henrique,carloshenrique.mg,1.0
Fast Trips,fast.trips,1.0
Siba Machado,sibamachado,1.0
Rosa Flor Moda Feminina,rosafloroficial,1.0
Pablo Jamilk - Português,pablojamilk,1.0
Pri Schiavinato,prischiavinato,1.0
DESACORDO,desacordo_hc,1.0
Cape Eventos,capeeventos,1.0
Marcelo Squassoni,dep.marcelosquassoni,1.0
Santos Futebol Clube,santosfc,1.0
AmoraMel 🍇,amoramelbijuterias,1.0
OraculistaDonJulio,oraculistadonjulio,1.0
Rede Comunicare,redecomunicare,1.0
Juventude Socialista,juventudesocialista,1.0
Douglas Moreira - Dodi19,dodi_mf,1.0
Eder Mota da VMAX,vmax_oficial,1.0
LULA BROWN,lulabrown_oficial,1.0
Dr Marcos Pontes // Emagrecimento Brasília,dr.marcospontes,1.0
Dr. Sergio Timerman,drsergiotimerman,1.0
ConsultingRural,consultingrural,1.0
Dentista em Santos - Implante Vida 🍏,implantevida,1.0
Alexandre amaro,aleamarofc,1.0
A MELHOR LOJA DA 44,jessyckapaullamodas,1.0
Pedro Garrido,pedrogarridos,1.0
Os Bullys + 4 Bulldogs,osbullys_mais4bulldogs,1.0
Próxima Saída Viagens,proximasaidaviagens,1.0
Mam Marco Aurelio Marinho,dj_mam,1.0
X-treme Gramado®,xtremegramado,1.0
Loucos Por Games,loucosporgames,1.0
Vaneide Farias,vaneidefarias_,1.0
Tamara Cavalcante | Advogada Criminalista,dra_tamaracavalcante,1.0
Unilever Sons do Brasil,unileversonsdobrasil,1.0
Julius Wiedemann,juliuswiedemann,1.0
Império Móveis e Eletro,imperiomoveiseeletro,1.0
Investing.com Brasil 🇧🇷,investingcombrasil,1.0
Douglas Magno,douglasmagno,1.0
Festival do Rei 🦁👑,festivaldorei,1.0
Esta na Internet,estanainternet,1.0
𝗙𝗜𝗟𝗛𝗢𝗦 𝗗𝗘 𝗗𝗘𝗨𝗦 ®,filhosdedeus.oficial,1.0
Tião Medeiros,tiaomedeirospr,1.0
Josélia Batista 🌪️,joselia_batista06,1.0
Leandro Grass,leandrograss,1.0
Dirlene Silva,dirlene.economista,1.0
Sergio Pina,sergiopinareal,1.0
Pastoral Fé e Política - Lapa,pfplapa,1.0
Governo do Piauí,governodopiaui,1.0
Talita Matos,eitalitamatos,1.0
INSTITUTO NATI,institutonati,1.0
Bierbörse Pub,bierborsepub,1.0
Fᴀʟᴀ Gᴀʟᴇʀᴀ,falagalera.oficial,1.0
Cynthia Amaral • Tatuagens delicadas •,cynthiatattoo,1.0
Gil Monteiro,gilmonteirooficial,1.0
Camisa 21,camisa21,1.0
@JessycaSalam,jessycasalam,1.0
Is Imports,isimports,1.0
DSR / INPE,dsr.inpe,1.0
Gilmar Dos Santos,prgilmardsantos,1.0
Simone Sabin,simonesabin14,1.0
Alcoonteceu 🍻,alcoonteceuoficial,1.0
Luxcel,luxcel,1.0
Dalmi Junior,dalmijunioroficial,1.0
Folha da Manhã,folha1,1.0
Decorando a Lei Seca,decorandoaleiseca,1.0
ABC Atacado e Varejo,abcatacadoevarejo,1.0
Professor Edilson Graciolli,professoredilson,1.0
Latexxx,latexcom3xis,1.0
Gazeta do Cerrado,gazetadocerrado,1.0
Boas Intenções - Lapa,boateboasintencoes,1.0
Instituto Ascendendo Mentes,ascendendomentes,1.0
Sadistic Messiah,sadisticmessiah,1.0
Vida Secreta | Revista Literária,revistavidasecreta,1.0
Monica Benicio 🏳️‍🌈,monicaterezabenicio,1.0
Rômulo Rizo / Min. Louvor,romulorizo,1.0
EDUARDO RODOLFO DUGOIS,eduardodugois,1.0
Portal de Beltrão,portaldebeltrao,1.0
Sérgio Leite,sergioleiteoficial,1.0
ONU Mulheres Brasil,onumulheresbr,1.0
Iveteiros Solidários,iveteiros_solidarios,1.0
