Name,Username,Label
Raquel Chini,raquelchini_oficial,1
CNASANTOSGONZAGA,indiraxavier.up,0
Domingo Espetacular,rogeriocorreia_,0
Casual EXAME,talkids,0
MINANTE®,brechominante,1
🅼🅾🅽🆂🆃🆁🅾🆂 🅴 🅼🆄🆂🅰🆂,betinho_limaa,0
Dani Cruz | cantora,danicruzcanta,1
IBCC Oncologia,republicanos10nacamara,0
Higo Moura,futcalls,0
JP Agora,familiacivic,0
Jonathan Ramalho | Imóveis,donadofuxico,0
Jaula Cursos (Concursos),jaulacursos,1
Vereador Soneca,patriotsbrasil,0
Talita Oliveira,talitaoliveiraoficial,1
Capitao Bolsonaro,diegohsbaptista,0
FELIPE SALIBA,gualtersalles,0
David García,akaicosmeticos,0
Leonardo Monteiro,depleomonteiro,1
Top Brasil Atacado e Varejo 🇧🇷,teatrinetv,0
Jorge Braz,bella_shoes.joa,0
Mike em Ação,diarioespiritualbr,0
Tribuna do Recôncavo®,tribunadoreconcavo1,1
Lar Das Moças Cegas,shoemixcalcados,0
Pr Claudio Duarte,claudioduarte,1
Agni Santoro,agni.dialogo_masculino,1
Jiu Jitsu Brasil,viviourpride,0
Rodrigo santos 👑,energiasolaranitaamsa,0
Supermercado Serra Azul,supermercado_serraazul,1
Leonardo M. B. Peçanha✊🏿⚧🌻,leonardombpecanha,1
Guilherme de Carvalho,guivrc,1
Renzo Vasconcelos,interior_milgrauu,0
Fé & Trabalho,lucas_atipico,0
𝚄𝚗𝚒ã𝚘 𝙳𝚘𝚜 𝙿𝚊𝚕𝚖𝚊𝚛𝚎𝚜/𝙰𝙻,esquerdasexy,0
Lendário Neymar Jr.,redevivaxtvoficial,0
Márcio da Farmácia,marciodafarmacia19123,1
IEQ Clementino,ieqclementino,1
Amanda Campos,_amandascampos,1
O Grande ABC,valdemirmedeirosoficial,0
Tatuagens Femininas 💫,tattooadosinspira,1
Deo Garcez,gbuenorj,0
Juliana Claudiano,adorata_nmt,0
AGÔ • Bar da Encruza,genheleno,0
Creci-RJ,bahiacomentaoficial,0
ραrαcℓiτυs,paraclitus_oficial,1
Litoral House Imóveis®️,litoral_house,1
Vital Grupo,vital.hyundai,1
Rodolfo Abrantes,luizcrestanibr,0
Andréa Faria Sorvetão 🅰️+,andreasorvetaooficial,1
Rosilene Corrêa Lima,rods_,0
Espalhaí,versadabyvanecosta,0
Vila da Fantasia,viladafantasia,1
Kayo Amado,delesmano,0
Hermanson Figueira | Dragon Ball Brasil,donferreiraa,0
@Gil Santos_figura-publica_,michelblois,0
Boletim da Liberdade,_vizinha123_,0
Frango Assado Du Francisco - JF,tvpontaverdesbt,0
Blog do Bruno Muniz,blogdobrunomuniz,1
Coren-MG,agenciapanzerbrasil,0
Papa Charlie MA,papa_charlie_ma,1
Paula Flavio Semijoias,pfsemijoias,1
Sonia Raifur Kos,messibrasilhd_,0
RALFI SILVA,ralfisilvaoficial,1
M I H  &  K A T  MODAS,mih_katmodas,1
Israel Massa,gpbr.manaus,0
Liander Padilha,jetclubcabofrio,0
Luís Ernesto Lacombe Heilborn,djmagbr,0
Giuseppe Riesgo,giusepperiesgo,1
Adriano 🇾🇪,tiagobarbosa,0
Júnior D’Oxóssi 🏹,juniordeoxossi_,1
Mônica Moreira,monicamoreiranegga,1
Flávia Tonello,kikoferrazz,0
ANGVSTIA 🏴,tinanabs,0
Grands,kongobr,0
Tarcisão da Construção,tarcisaodaconstrucao,1
Vivian Blaso,monarcabar,0
Raul Sena l Investidor Sardinha,oraulsena,1
Esquerda Sexy,esquerdasexy,1
Santa Igreja Católica,santaigrejacatolica,1
Marina Izabel De Assis Ribeiro,marina.izabel_,1
Jornal Diário da Manhã,diariodamanhaoficial,1
Jornal do Bairro Castelo,jornaldobairrocastelo,1
Prefeitura de Cachoeiro,prefcachoeiro,1
Marcelo Teixeira,igmarceloteixeira,1
Claudio Serrada,claudioserrada,1
Acorda Cidade,acordacidade,1
Raphael Fonseca,yesbrasilusa,0
Elísio Neto,municipiodeigarata,0
Original Kobe Burger - 1ª Hamburgueria 💯% Wagyu Certificado 🇧🇷,koburgerhamburgueria,1
Correio Da Manhã,thiagoandrade_013,0
Cidadão João Capiberibe,joaocapi,1
J E N I F E R,terraemagia,0
Jornal A Gazeta,lari.anjos,0
Bolsonaro- BA,baianosdedireita,1
De Férias,deferias.pt,1
🏛💎 Gusttavo Lima Embaixador 💎🏛,mercado_brasiltropical,0
Marcelo Mira 🎤,clinicamedicadatrofa,0
"CARAÍBAS FM 100,7",mauricioarmindocosturaebordado,0
Karen Paiva - Ciclista,drflaviooficial,0
Monica Iozzi,abreu_news,0
Partido Ecologista Os Verdes,partido_osverdes,1
⠀⠀⠀⠀⠀⠀⠀⠀Bodonas Oficial 🇧🇷/ 🇺🇸,bodonas,1
Cresci e Perdi Belo Horizonte,crescieperdi_pampulha,1
Luciana Coutinho,futebolrei,0
CLAÚDIO  CAJADO,sauloavozdopovo,0
Grappling Industries,diariodorioclaro,0
RING LIGHT BRASIL OFICIAL  🇧🇷,ringlightbrasiloficial,1
Comadre Store,comadre_store_,1
Prefeito Rogério Costa,rogeriocostaof,1
Alessandra Almeida,ale_almeidaferreira,1
A Comarca,acomarca,1
Bruna,wagnerassis1111,0
CRM PipeRun,sevenboysoficial,0
Rodrigo Sant’anna,rodrigosantanna1,1
FOFOCAA DO DIA,fofocaadodia,1
Revoada Oficial,delegadomarcelofreitas,0
Bothanica Mineral® Oficial,bothanicamineral,1
Sergio  Oliveira,biroco,1
PERNAMBUCO EM DESTAQUE 🔎🔎🔎,dormentemusic,0
ANSA Brasil,ansabrasil,1
Joe Valle,prefeituraorlandia,0
MENGÃO NEWS 1895,mengaonews_1895,1
Jornal Palhocense,palhocense,1
Celeste Lima | Bio Estética Integrativa,celeste_bioesteta,1
Revista Exclusive,johnnywalker,0
RafaBrahma,rafabrahma,1
💞 MENINAS PLUS SIZE 💞,meninas_plussize,1
Pátio Villa Branca,patiovillabranca,1
Dra Lilian Alves,dra_lilianalves,1
Movente,fabriciocosta.artes,0
As Melhores Bandanas Pet 🎀,henriquefigueiramusic,0
CANTINHO TATTOO,cantinhotattoo,1
Ralf Coutinho,ralfcoutinho_,1
André Rio,andreriooficial,1
Piloto PRO | Youtube,backfranciele,0
Viva Bakery,prolinguas,0
Jornal Diário da Manhã,brauliolaranovo,0
HITSDESUCESSO_🎶,hitsdesucesso_,1
Via Certa Natal,chutedemestrebr,0
Professor Zé Luís,professorzeluis,1
Rayssa Okoro,verissimoarthur,0
Portal Nosso Dia,ppmelo,0
ᴊᴇɪᴛᴏ sᴇʀᴛᴀɴᴇᴊᴏ ᴍᴏᴅᴀ ᴄᴏᴜɴᴛʀʏ,98fmnatal,0
Kleverson Passos,kleverson.passos,1
Pátio Norte Shopping,hyperanhas,0
Hospital do GRAACC,instagraacc,1
Thiago Coqueiro,coqueiropcb,1
Instituto Viva Bicho,foralulaeopt,0
Florianópolis House of Prayer,fhopbr,1
Família dos Devotos,familiadosdevotos,1
Marante Plaza Hotel,maranterecife,1
Letícia Wexell | Nerd & Geek,famashowoficial,0
Palato Restaurante,palatorestaurante,1
Wildison Mendes Junior,iberanimeoficial,0
Blog Chapadinha 24 Horas,blogchapadinha24horas,1
GILBERTO NASCIMENTO,gnascimento_20,1
Johnny Walker,johnnywalker,1
Tatiane Moreno,luisalacerda_,0
Sérgio Falconi,orcomacontabilidade,0
Maltratando a Redonda 🇧🇷,maltratandoaredonda,1
Paquero Quero,_marcos.araujo_,0
Paulo Antônio Briguet,paulobriguet,1
Saulo Mazagão,focomedicinavestibular,0
RIC RIVERA,djricrivera,1
CAÇADOR 05,levirioschi,0
Ewanes Marques,ewanesmarques,1
André Figueiredo,ponto_da_moda01,0
King Silk Personalizados ®️,kingsilkpersonalizados,1
Anuário do Ceará,anuariodoceara,1
Ribamar Braga/Pastor Ribinha,borapodcast,0
Embaixadores do GALO,emanuellavelez,0
Tipografia🎶,pablo_status,1
Osni Cardoso,osnicardoso13,1
COCHICHARAM,drikaschumacher,0
E,eduardoklafke_,1
Giba Moura,gcmoura,1
Paula Taquari,dicasdepaula,1
Luísa Lacerda,raynadadalto,0
Fundação Joaquim Nabuco,fundajoficial,1
Vanessa Freitas,pitaco.jornalismo,0
Madeiras Ype,bhsuplementos_,0
Parlamentar Destaque,homenurseassessoria,0
Louzan Illustrations,louzanillustrations,1
NOSOTRAS Tarot,nosotrastarot,1
Bruno Lins,blinunes,1
Geoparque Seridó,beleza_no_papel,0
Deborah Sabara,pedraofagundes,0
Natinho Do Sindicato,natinho_mirandiba,1
Glauber Braga,metropolitano_rio,0
Anitta Update Brasil,anittaupdatebr,1
Sargento Novandir Rodrigues,sargentonovandir,1
Daniel Carraretto,danielcarraretto,1
Botafogo F.R.,botafogo,1
♱🇸‌🇦‌🇴‌ 🇧‌🇪‌🇳‌🇹‌🇴‌♱,devotos_sao_bento.oficial,1
G7 Nutrição Esportiva Sorocaba,opiniao,0
,tobias.oficiial,1
Frente Ambientalista,frenteparlamentarambientalista,1
SITE BAGACEYRAS 📷👌,pedro.ferreira72,0
Royal Trudel,blog.da.lady,0
João Velloso,joaovellosooficial,1
LULA PRESIDENTE DO 🇧🇷,fanclubedolula_oficial,1
Sylvia Loeb e Carla Leirner,minhaidadenaomedefine,1
Marcelo Xavier,ladylindacosmeticos,0
data_labe,ibcaoficial,0
VIAGEM & FATOS,mzq_mazuque,0
DJ NEGUINDUGRAU 🎧🦅,neguindugrau_ofc,1
Arnaldo França Quaresma Junior,teohayashi,0
Portal Comunique Inácio Martins,auryapires,0
Maricota_Chic,arysouza_asb,0
Divaldo Lara,reporterfernanda,0
ANDERSON  BUENO  #MakeupArtist,andersonbueno,1
Teatro Oficina Uzyna Uzona,oficinauzynauzona,1
Beauty Stars Eventos,barbatuques,0
96FM Bauru,robertinhomendoncavereador,0
Radamés Furlan,radamesmartins,1
Nick_modass,portal_pentecoste,0
Andrade Neves Advogados®,ligiaprotasio_,0
Lucas Pedrosa,lucaspedrosa94,1
Celi Regina,sicoobcoopemata,0
Señorita,gazetadocerrado,0
𝙎𝘼𝙉𝘿𝙍𝘼 𝙎𝘼𝙏𝙊 🅱️➖,entendeudireito,0
Angolana Raiz,angolanaraiz,1
Katia Nogueira|Harmonização Facial,marinabastoshistorias,0
Greice Ciarrocchi,greiceciarrocchi,1
🌟Malu Mader♍ - Dedicada à atriz🌠ღღ,estrela_malumader,1
𝗟𝗜𝗚𝝠 𝗗𝝝 𝗣𝗘𝗗𝝠𝗟,bruxabraba,0
ABDULBASET JAROUR,abduljarour,1
memes,guardajaniodf,0
Dudu Mafra,mafradudu_,1
Paula Taquari,raptipografias,0
Terezinha Nunes,terezinhanunesoficial,1
Diego S Rosa,noveleiro_,0
Escotilha,umirimnoticias,0
Berimbau Notícias,berimbaunoticias,1
Elton Espínola - Parahyba Broker Imoveis,zarpellonjoias,0
𝐙𝐎𝐑𝐈𝐊,escribodelalma,0
Joe Valle,enxiclopediax,0
Diego Negrellos,pauloscottreal,0
Minha Jampa,minhajampa,1
Romão Escapamentos Especiais,zemariarj,0
Sugar Kane,sugarkaneoficial,1
Agitação Health • Fitness,psolcarioca,0
Prime Arcade (Fliperamas e Games Retrô) 👾🎮,bolsonaro.tv,0
Click Riomafra,jornalolourenciano,0
Clube Oficial Deborah Secco,cg.meupais,0
Cresci e Perdi Botafogo - RJ,crescieperdi_botafogo,1
Léo Maltrapilho (bxd),william_amaral,0
Marcelino D'Almeida,marcelinodalmeidaoficial,1
Portal Manaós,spcriancas,0
Kaká Werá,kaka.wera,1
Stahelin Store,mauricio_olv,0
superandolupus,saj_noticias,0
Papo de Criminalista,nick_modas013,0
Sr. Banana Açai,srbananaacai,1
Fala Genefax,edithderdyk,0
Trilhas Do Araçari,trilhasdoaracari,1
Zé Henrique,zehenriquepi,1
Tribuna do Sertão 🌵☀️📰,tribunadosertao,1
Age of Artemis,falatuteresina,0
Jornal Folha,folharibeiraopires,1
VC Dividendos,annamarchesini,0
Daniel Munduruku,danielmundurukuoficial,1
ᴘᴀᴍᴘᴀ sᴇᴍ ғʀᴏɴᴛᴇɪʀᴀ®️,marinadiasw,0
Cultura Prudente,direitaminaspatrocinio,0
Bolsonaristas,dicadehoje_7,0
Japas Cervejaria,japascervejaria,1
Ilha de Ferro da Depressão,pipa_beach_club,0
Antonio Fernando,euadrianab,0
Bom Dia Feira,_qxute,0
Vitória Maria,vitoriamaria_cavalcanti,1
Lucas Almeida,opoemaensinaacair,0
Siga O Abba,sigaoabba,1
Igor Rosa,igorxavier.rosa,1
Ricardo Vasconcelos,ricardovasconcelosoficial,1
Aɴᴀ Aʟɪᴄᴇ sᴏᴀʀᴇs | sᴜᴀ ᴍᴀʀᴄᴀ ɴᴏs ᴇᴜᴀ🇺🇸,standwithus_brasil,0
Fernando Fernandes,soueuagro,0
GOSSIP DA FAMA,jornalbarrosoemdia,0
Blog do Silvinho,grandeonossodeus_,0
Memes 24h,curtosrelatos,1
Correio do Imbé Notícias,correiodeimbe,1
PAM NASCIMENTO,pamnasccimento,1
Ice Creamy Rio Claro Sorveteria,icecreamyrioclaro,1
JOMA,mortanafarofa,0
Valéria Gibim,juliosartscaricaturas,0
FHAEL 💚,fhaelof,1
The BBurgers & Grills ®️ Franchising 🌻,lucianaoliveiradepvh,0
"MOÇA, EMPODERE-SE",mocaempoderese,1
Marcília Diniz,marciliaadiniz,1
FAMOSOS E TV,sitefamososetv,1
acepusp,acepusp,1
Andressa bordin,andressa_bordin_trator_rosa,1
Rosana,rosanabolsobraba,1
sertanejos Produções,marcelocastrosg,0
EU TOPO | Viagem em Grupo | Travel,cilene_serafim,0
Tatiana Eskenazi,felipecontagem,0
DAIANA M PARISATO 🍉,_bacultural,0
Política Sigma 🇧🇷 🍷🗿,manchesterinvest,0
Cesar Brod,meninodeluz2023,0
Rafael Laurentino,rafalaurentino,1
Jornal A Verdade,leomancinimusic,0
Samantha Vianna,samantha.vianna,1
Nelci Hammerle,nelci.hammerle,1
Marcelo Brum,emilioparmegiani,0
Alessandro Castro,aleworldgriffes,1
Laurence AmericanCar 🇧🇷🚗🇺🇸,alexbrollo,0
O Renascimento,pedroruaspsol,0
frases de cria🎭☯️💸,cantoraelisangelacruz,0
GIRO Serra,giroserra,1
Plurale,revistaplurale,1
Ponto das Festas,lojapontodasfestas,1
Nelore Prime,neloreprime,1
Luiz Couto⭐,nobrezadcacau,0
Robson Viturino,cilenenabi_,0
Claudinho,rogerioassiscanhao,0
Cabanga Iate Clube de PE,prefeito_lero,0
sɪɴɢᴜʟᴀʀɪ ɪɴ,singulari.in,1
Monica Salmaso,monicasalmasooficial,1
Curso Palestra Gratuita,gbarbosa_oficial,0
Alex Tseng,bees.brasil,0
DENISE FURLAN / Semijoias e Acessórios,denisefurlan,1
Cinépolis Brasil,cinepolisbrasil,1
Bolsonaro Amazonas,rudraskainstituto,0
TNT Sports Brasil,tntsportsbr,1
Mya Kids - Atacado🎀,expocontratista,0
Tassiana Galvão,alltrucks__,0
Professor Zé Luís,ajmoreirabh,0
Ótica Gouveia,dfonnso,0
Jandira Silva,blogdoneylima,0
MAW Criações,fifizando,0
Brazilian Cowboys,brazilian_cowboys,1
Quatro Cinco Um,quatrocincoum,1
Shopping Pátio Divinópolis,patiodivinopolis,1
Jornal Zona Sul Notícias,zonasulnoticias,1
ᴠᴇʀóɴɪᴄᴀ ᴠᴀʟᴇɴᴛᴛɪɴᴏ,karina_alencar,0
A MELHOR DA FOFOCA 💣,fofocanini,1
Federaçao Paulista de Ciclismo,karinelimacp,0
J&Y Hotel | Moju,jeyhotelmoju,1
TV Comunidades,miguelpaiva,0
Leo Bandeira,gruporesenhagarantida,0
TV Cabo Branco,verve.ent,0
Barbaras Semijoias,barbaras.semijoias,1
José Tenório,zedeirmateca,1
Hermes Carvalho Fernandes,hermescfernandes,1
Prefeitura Municipal de Areal,prefeituradeareal,1
Martha Medeiros,sidneypedroso,0
Gabriel Martins,gabitomartins,1
Rodrigo Agostinho,planbrasil,0
Ver-o-Pesinho,veropesinho,1
Coluna do Fla | Flamengo,cheffabianoseixas,0
Iriny Lopes,irinylopes,1
GANG,lagangoficial,1
GIGA BOM PREÇO ONDE É BOM COMPRAR TODO DIA,nosmulheresdaperiferia,0
radio yetu London,nsaparecidanatal,0
Jefferson - Geosaude,martinselainecampos,0
Denis Macedo,jc_pe,0
Moça Biju Anápolis (AMOR EM ACESSÓRIOS E BIJUTERIAS ❤),akillibrasil,0
Jefindugrau_🚀,jefindugrau_,1
🥇O Melhor Bar Praia de SP🥇,praiadolago,1
O Véio e o Vô,oveioeovo,1
Defensoria Pública do Piauí,valmorpaculdino,0
Empregos Pernambuco,aqui_paraiba,0
7M Handebol Total,capyyvara,0
IATAGAN KENNEDY 🇧🇷,iatagankennedy,1
portalalessandroguerra,portalalessandroguerra,1
@ttodeolho,balangandacafeteatro,0
MIGUEL LIRA 🇧🇷,fbtvnews,1
GabiStilo Gabi,stilogabi.sv,1
Atacadão Das Peças,zmca,0
INSULFILM,insulfilmss,1
Republicanos na Câmara,paulosantos.rj,0
Prefeitura De Caraguatatuba,caraguatatuba_oficial,1
TV Antena 10 | Record TV,tvantena10,1
Prefeitura de Muniz Freire,prefeiturademunizfreire,1
Chico Alencar,chico.alencar,1
Jonas Tomazini,jonastomazinioficial,1
Jornal Fato Regional,fato.regional,1
Maria Antonietta #Atfer,maria.antonietta_a,1
Inforteca Acessórios | TIM,andrejanones,0
Sistema O Dia de Comunicação,nenem.naldinho,0
San Junior,camila_morgado_,0
Arlan Dutra,vem.bicicletar,0
Central de Tudo!,centraldetudo,1
Dr. Roberto Bob,professormira,0
MMX MOTIVACAOMX®,motivacaomx,1
Portal Canoas,maranataitapeva,0
Joaquim da Farmácia,joaquimdafarmacia_,1
Futebol Cearense,espacopremamanaus,0
Fernanda Tanaka Coiffeur,luisdonisetegrupioni,0
LIVRE,partidolivre,1
Banco Rendimento,bancorendimento,1
A Dica do Dia Flávia Ferrari,adicadodia,1
PROF. MAURICIO NOVAES,geo.dicas,1
Paulo Bufalo,suzanohoje,0
E. C Taboão/Magnus ✨27🎗,alopatriota,0
Barry Marques,barrymarques,1
Bodim Marabá,bodimdemaraba,1
Mirella Floren,madeiradez,0
Rafael Vanni,vannito,1
Sler Rede Social para Ler e Escrever,unikaoficial,0
E S T E L A  N U N E S,estelanunes,1
Luiz Henrique Nogueira,_use.marino,0
Paz e Justiça,pazejustica,1
TV Ponta Negra- SBT,vontadeempreendedora,0
Lucas Teen ⚡️,mocurgent,0
Atlântico Futsal,atlanticofutsal,1
Alto Santo TV ✪,altosantotv,1
Dr. Rodrigo Mello,rodrigomellonutri,1
Hotel Pousada Ourinhos,amantesdograu244,0
Phelipe Da Silva Souza,phe_souza10,1
Cidade de Guarulhos,o_liberal,0
Família de Rua,familia_de_rua,1
Revista TV 7 DIAS,tv7dias,1
Andréa Galliza - Advogada,andreagalliza_adv,1
Rede Nacional do Esporte,cutbrasil,0
TOPSAJU SERGIPE,jo.maededois,0
Bíblia da Jusci | por Jusciane Silva,bibliadajusci,1
Sabrina Bomtempo,liamendes,0
Gol Contra,golcontraoficial,1
Lucão Quer Atenção,mundodascapaseciaguarapuava,0
Tiago Oliveira,reservafeita,0
💞 MENINAS PLUS SIZE 💞,drleonardomt,0
Mogi interativa,pandapool_the,0
Mais Brasil,revistatatameoficial,0
Revista Autoesporte,alonhansfinanceiro,0
Eduardo Fontes | Delegado Federal,eduardofontesdpf,1
Luana Dias,cesarbrod,0
Luizianne Lins,luiziannelinspt,1
Hortifruti Das Palmeiras,emanuellyramos,0
Capitão Nelson,capitao_nelson,1
ADSON E ALANA,adsonealana,1
GOSSIP MANAUX,gossipmanaux,1
Vereador Fabricio Polezi,globoplaypt,0
MaisMovies  Mário Sérgio,maismovies,1
Werther Santana,wertherphoto,1
Parmera News,_parmeranews,1
Grupo High Profile: Revista ๏ TV ๏ Radio,leonelradde,0
Luiz Henrique,eudorasantos,0
TV Arapuan,tvarapuan,1
NCS do Brasil,megsander_,0
Gustavo Gitti,gustavogitti,1
RENOVA FITNESS | ICARAÍ & ON-LINE,alegrianatvoficial,0
Anna Maria Ganem,dra.annaganem,1
Allan dos Panos,allandospanosoficial,1
Pedro Paulo (Pepa) Silveira,pepasilveira,1
Jornal do Commercio PE,jc_pe,1
Bolsonarista Opressora,bolsonaristaopressora,1
UFC Brasil,ufc_brasil,1
Leonardo Carvalho,leocarvalho77,1
Prefeitura de Muniz Freire,plinioprofeta,0
AGORA MT,agoramt,1
Felipe Villela,felipebvillela,1
Caminhões Brutos,caminhoesbrutos,1
Rádio Band FM,bandfm,1
✨Closet da lilly,comitivadosbrabuoficial,0
Top Charme Moda Infantil,topcharmee_,1
ALEGO,assembleiago,1
Rogério Carvalho 🇧🇷,brooklinindica,0
Kenzão,kenzao.oficial,1
Clinica Medica da Trofa,clinicamedicadatrofa,1
Nutri Paula Pinheiro,larezzooficial,0
TV Ponta Negra- SBT,singulari.in,0
Augusta Brito,augustabrito,1
Delegado Federal Toni Cunha,delegadotonicunha,1
Music Life,espetaria_pizzaria_ouroverde,0
Boa Diversão,boadiversao,1
Petra Perón,petraperon,1
Cinderela Fitas e Viés,cinderelafitas,1
CriAtivar Recursos Terapêuticos,criativar.recursosterapeuticos,1
Tony Goes,mortanafarofa,0
Correio Paulista,adoro_mio,0
Cruzeiro Feminino,lojastorra,0
TV Barriga Verde | BAND | SC,tvbvoficial,1
🥇O Melhor Bar Praia de SP🥇,radiochapeco,0
Eu Sou De Uberlândia,eusoudeuberlandia,1
Ministério Público de PE,bolsonarovaleria,0
ONLINE GOSPEL 🔥,online.gospel,1
Vitrola - Ambiente Cultural,vitrolaambientecultural,1
Aline Salvi,aline_salvi_,1
Radamés Furlan,williammarques.music,0
Ilhéus Eventos,assembleiarr,0
GNI Notícias Integradas,galeriacolin,0
Pr. Josenilson Almeida,pr.josenilsonalmeida,1
Geraldo Valadares (Gegê),nbet91oficial,0
Marquinho Lemos,janainajamilla,0
Fran Barreto,emporiosantamaria,0
ℙ𝕠𝕝𝕚𝕥𝕚𝕔𝕒𝕞𝕖𝕟𝕥𝕖_𝕚𝕟𝕔𝕠𝕣𝕣𝕖𝕥𝕠®,__politicamente_incorreto__,1
𝚅𝚘𝚊𝚍𝚘𝚛𝚊 𝙶𝚘𝚜𝚙𝚎𝚕,voadoragospel,1
Cuidados Fresh Food,cuidadosfreshfood,1
Karla Coser,guilubolosedoces,0
Géssica Fernandes,gessicafernandes,1
Agência O Observatório,agenciaobservatorio,1
GILMAR  JÚNIOR,drgilmarjr,1
𝗖𝗶𝗰𝗶𝘁𝘀𝗵𝗶𝗿𝘁𝘀 𝗔𝘁𝗮𝗰𝗮𝗱𝗼♡,cicitshirt,1
Fábio Piperno,fabiopiperno,1
PALEX,ednagomespe,0
Gisele Prado,giseleprado___,1
Erika Kokay,gcnoticias,0
Vasquinho Gama,ndtvitajai,0
Lucas Cassule 🇦🇴,lucascassule.ao,1
Ricardo Di Ricco Pinheiro,ricardodiricco,1
Jornal Tribuna da Produção,tribunadaproducao,1
Jimmy Andrade Mota,jimmyandrade,1
Helio Flanders,helioflanders,1
O Noticiário de Ubá e região,onoticiariouba,1
KPOP NEWS2 | KPOP KDRAMA,kpopnews2,1
Carlos Eduardo Viterbo,henriqueharrison,0
Guilherme Peña de Moraes,13bookings,0
TV Brasil Central | TBC,eduardoklafke_,0
Rudraska Instituto,rudraskainstituto,1
iphoneprimejp ,iphoneprimejp,1
JOVENS DE ESQUERDA,grazimassafera,0
Einar Rivero,stonewalllojaoficial,0
Mariana Motta,mari.purpura,1
Universal Socioeducativo Brasil,nicendeadly,0
Heroes Sports,genisonbalbino,0
Valisere Lingerie Bauru ♣️,valiserebaurushop,1
GISELY MACEDO,lucasgabriel.design,0
Diário de Viamão,site_diariodeviamao,1
Jornal Correio Popular,correiopopularro,1
Vipei!,thazya,0
Diário da Manhã Pelotas,juju_coelho,0
Fátima Araújo,bolsonarosincero2022,0
Renan Calheiros,renancalheiros,1
SOLEDADE ALERTA  📽🌐,soledade.alerta,1
Porto Bello Móveis e Colchões,portobello_moveis,1
Jornal Meia Hora,jornalmeiahoraoficial,1
Ana Carolina,ubueditora,0
Maguila,nilsonmaguila,1
𝕌𝕞 𝕞𝕦𝕟𝕕𝕠 𝕔𝕙𝕖𝕚𝕠 𝕕𝕖 𝕃𝕦𝕫 ☀️🕊️,umbanda.divinaoficial,1
loucos por montanha⛰️⛰️⛰️,emerconatus,0
Uninovafapi,uninovafapiaui,1
Citi Brasil,citibrasil,1
Portal Pentecoste,portal_pentecoste,1
Economia doméstica,meninasdosupermercado,1
Secretaria da Saúde de Palmas,semuspalmas,1
Markos Zaurelio,babaloodiario,0
Já Que a Mídia Não Fala 🤷🏻‍♂️,caiocorrea_art,0
Lucas | Fan Account,loucos_por_motocross_,0
Vanessa Wagner Maquiadora,tvjornalsbt,0
biatrixx,biatrixx2,1
Lucas Siqueira,lucassiqueira.cwb,1
SEEDCORP|HO,seedcorpho,1
Marcelo Brum,raphaelcostaoficial,0
Betim Online,betim.online,1
Prefeitura de Braço do Norte,prefsbn,1
Mara Telles,maratellesreal,1
Jequitiba fm,jequitibafm,1
Odilon Ribeiro França,odilonribeirofranca,1
Sargento Reginauro | Deputado estadual (CE),sargentoreginauro,1
RARA,wandersonnogueira,0
Juliete Pantoja | UP,coronelmocellin,0
Sérgio Souza,sergiosouzabsb,1
iLove.e ✨,ilove.e,1
LAMAH 🏳️‍🌈,lamah_lounge,1
Fala Genefax,tx_hash,0
